=== DECILE_WINRATE_REPORT ===
Generated: 2026-03-24 10:40:35
ST   ATR    Vol    RSI    ADX    EMA    BBW    R_BSP  B_BSP  RT_BSP S_BSP  Total    Wins   Win Rate   PnL       
15M  60     20     50     30     30     30     -1     0      1      1      1        1      100.0% 0.08      
15M  60     20     50     40     40     40     -1     0      1      1      1        1      100.0% 0.07      
15M  60     20     50     40     80     50     -1     -1     0      0      1        1      100.0% 0.55      
15M  60     20     50     40     100    100    0      1      0      0      1        0      0.0% -0.28     
15M  60     20     70     50     50     70     1      -1     -1     -1     1        0      0.0% -0.14     
15M  60     20     100    80     100    90     0      -1     -1     -1     1        1      100.0% 0.27      
15M  60     30     20     80     50     40     -1     1      0      0      1        1      100.0% 0.10      
15M  60     30     30     30     80     50     0      -1     0      0      1        1      100.0% 0.65      
15M  60     30     50     10     30     50     1      1      0      0      1        0      0.0% -0.43     
15M  60     30     60     20     10     40     0      -1     -1     -1     1        0      0.0% -0.32     
15M  60     30     60     20     20     20     0      0      1      1      1        0      0.0% -0.23     
15M  60     30     70     40     30     50     0      1      0      0      1        0      0.0% -0.28     
15M  60     40     10     80     80     60     -1     0      1      1      1        1      100.0% 0.08      
15M  60     40     40     10     20     20     -1     1      0      0      1        0      0.0% -0.61     
15M  60     40     40     10     20     40     -1     1      -1     -1     1        1      100.0% 0.40      
15M  60     40     40     30     30     80     1      0      -1     -1     1        1      100.0% 0.05      
15M  60     50     40     50     10     40     0      -1     -1     -1     1        1      100.0% 0.04      
15M  60     50     50     30     20     30     0      1      -1     -1     1        1      100.0% 0.08      
15M  60     50     100    100    60     50     -1     -1     0      0      1        0      0.0% -0.15     
15M  60     60     50     20     20     40     1      1      0      0      1        0      0.0% -0.29     
15M  60     60     50     30     40     20     0      0      1      1      1        1      100.0% 0.06      
15M  60     70     30     50     40     30     -1     1      0      0      1        1      100.0% 0.12      
15M  60     80     80     40     80     60     1      0      -1     -1     1        1      100.0% 1.16      
15M  60     80     100    100    40     60     1      -1     0      0      1        1      100.0% 0.05      
15M  60     90     20     50     100    70     0      0      1      1      1        0      0.0% -0.43     
15M  60     100    90     100    80     50     1      -1     0      0      1        1      100.0% 0.07      
15M  70     20     10     70     50     70     -1     1      0      0      1        1      100.0% 0.10      
15M  70     20     10     90     50     50     -1     1      0      0      1        1      100.0% 0.14      
15M  70     20     20     80     50     70     -1     1      1      1      1        1      100.0% 0.28      
15M  70     20     20     90     80     90     0      -1     0      0      1        1      100.0% 0.03      
15M  70     20     20     90     90     100    0      -1     -1     -1     1        0      0.0% -0.26     
