=== DECILE_WINRATE_REPORT ===
Generated: 2026-03-29 14:10:06
ST   ATR    Vol    RSI    ADX    EMA    BBW    R_BSP  B_BSP  RT_BSP S_BSP  Total    Wins   Win Rate   PnL       
10M  60     10     60     10     30     50     0      0      -1     -1     1        0      0.0% -0.22     
10M  60     10     60     20     30     40     0      0      -1     -1     1        0      0.0% -0.18     
10M  60     10     60     30     50     50     1      0      0      0      1        0      0.0% -0.08     
10M  60     10     60     40     10     10     0      0      0      0      1        0      0.0% -0.10     
10M  60     10     60     50     80     90     0      0      0      0      1        0      0.0% -0.10     
10M  60     10     70     10     10     60     1      0      0      0      1        0      0.0% -0.08     
10M  60     10     70     10     50     40     -1     0      0      0      1        1      100.0% 0.19      
10M  60     10     70     70     10     80     1      0      0      0      1        0      0.0% -0.09     
10M  60     10     80     10     40     20     1      0      0      0      1        0      0.0% -0.17     
10M  60     10     80     10     40     60     1      0      -1     -1     1        1      100.0% 0.34      
10M  60     10     80     20     30     60     1      0      0      0      1        1      100.0% 0.16      
10M  60     10     80     30     40     30     1      0      0      0      1        0      0.0% -0.17     
10M  60     10     100    10     20     10     1      1      1      1      1        0      0.0% -0.24     
10M  60     20     50     20     40     40     -1     0      0      0      1        0      0.0% -0.19     
10M  60     20     60     30     20     40     -1     0      1      1      1        0      0.0% -0.12     
10M  60     20     70     30     40     40     -1     0      0      0      1        0      0.0% -0.16     
10M  60     30     60     20     40     60     -1     0      0      0      1        0      0.0% -0.23     
10M  60     40     60     20     40     50     1      0      -1     -1     1        0      0.0% -0.21     
10M  60     70     70     20     70     50     1      0      0      0      1        0      0.0% -0.25     
10M  60     90     70     50     40     50     1      1      -1     -1     1        1      100.0% 0.02      
10M  60     100    30     20     70     30     -1     -1     -1     -1     1        1      100.0% 0.20      
10M  60     100    60     20     20     60     1      0      0      0      1        0      0.0% -0.26     
10M  70     10     10     10     20     10     0      0      0      0      1        0      0.0% -0.25     
10M  70     10     20     50     90     70     -1     0      0      0      1        0      0.0% -0.13     
10M  70     10     20     70     90     90     1      0      0      0      1        0      0.0% -0.51     
10M  70     10     40     20     30     20     0      -1     -1     -1     1        0      0.0% -0.03     
10M  70     10     40     40     60     50     1      0      1      1      1        1      100.0% 0.20      
10M  70     10     40     40     70     50     -1     0      1      1      1        0      0.0% -0.12     
10M  70     10     50     20     10     90     0      0      0      0      1        0      0.0% -0.26     
10M  70     10     60     10     20     60     0      0      0      0      1        0      0.0% -0.26     
10M  70     10     60     20     30     60     1      0      0      0      1        1      100.0% 0.18      
10M  70     10     60     30     10     20     1      0      0      0      1        0      0.0% -0.06     
10M  70     10     70     10     10     40     0      0      -1     -1     1        0      0.0% -0.09     
